"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-01","14.32",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","1.0",",,Z,2400","23","H,,S","31",",,W","19",",,W",,,"  260",",,W","  250",",,W","21.9",",,W","28.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-02","12.08",",,W",,,"0.00",",,W,2400","0.0",",,W,","1.2",",,W,2400","27","H,,S","32",",,W","20",",,W",,,"  260",",,W","  230",",,W","23.0",",,W","32.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-03","11.63",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","1.2",",,W,2400","27","H,,S","29",",,W","22",",,W",,,"  340",",,W","  340",",,W","21.0",",,W","25.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-04","10.07",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","1.2",",,W,2400","27","H,,S","31",",,W","22",",,W",,,"  340",",,W","  350",",,W","19.9",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-05","10.07",",,W",,,"0.00",",,W,2400","0.0",",,W,","1.2",",,W,2400","26","H,,S","33",",,W","17",",,W",,,"  210",",,W","  200",",,W","21.0",",,W","25.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-06","8.72",",,W",,,"0.00",",,W,2400","0.0",",,W,","1.2",",,W,2400","28","H,,S","36",",,W","21",",,W",,,"  200",",,W","  200",",,W","16.1",",,W","19.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-07","7.38",",,W",,,"0.01",",,W,2400","0.0",",,W,","1.2",",,W,2400","36","H,,S","41",",,W","34",",,W",,,"  140",",,W","  120",",,W","13.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-08","6.49",",,W",,,"0.19",",,W,2400","0.0",",,W,","0.0",",,W,2400","38","H,,S","42",",,W","36",",,W",,,"  130",",,W","  120",",,W","10.1",",,W","12.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-09","9.84",",,W",,,"0.27",",,W,2400","1.7",",,W,","0.0",",,W,2400","37","H,,S","40",",,W","23",",,W",,,"  330",",,W","  330",",,W","25.9",",,W","32.0",",,W","    1",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-10","17.67",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","1.2",",,W,2400","19","H,,S","23",",,W","2",",,W",,,"  330",",,W","  330",",,W","28.0",",,W","36.9",",,W",,,,,,,,,,,,,,,,,,
