city,variable,method,flagged,tp,fp,fn,precision,recall,f1
Chicago,TMAX,Z-score,134,18,116,17,0.13432835820895522,0.5142857142857142,0.21301775147928995
Chicago,TMAX,MAD,86,10,76,25,0.11627906976744186,0.2857142857142857,0.1652892561983471
Chicago,TMAX,IsolationForest,47,13,34,22,0.2765957446808511,0.37142857142857144,0.3170731707317073
Chicago,TMIN,Z-score,138,16,122,9,0.11594202898550725,0.64,0.19631901840490798
Chicago,TMIN,MAD,89,7,82,18,0.07865168539325842,0.28,0.12280701754385967
Chicago,TMIN,IsolationForest,47,12,35,13,0.2553191489361702,0.48,0.3333333333333333
Chicago,PRCP,Z-score,100,23,77,1,0.23,0.9583333333333334,0.3709677419354839
Chicago,PRCP,MAD,42,7,35,17,0.16666666666666666,0.2916666666666667,0.2121212121212121
Chicago,PRCP,IsolationForest,47,7,40,17,0.14893617021276595,0.2916666666666667,0.19718309859154928
LA,TMAX,Z-score,90,15,75,12,0.16666666666666666,0.5555555555555556,0.2564102564102564
LA,TMAX,MAD,64,10,54,17,0.15625,0.37037037037037035,0.21978021978021978
LA,TMAX,IsolationForest,9,2,7,25,0.2222222222222222,0.07407407407407407,0.1111111111111111
LA,TMIN,Z-score,165,11,154,17,0.06666666666666667,0.39285714285714285,0.11398963730569948
LA,TMIN,MAD,53,4,49,24,0.07547169811320754,0.14285714285714285,0.09876543209876543
LA,TMIN,IsolationForest,9,1,8,27,0.1111111111111111,0.03571428571428571,0.05405405405405406
LA,PRCP,Z-score,43,14,29,10,0.32558139534883723,0.5833333333333334,0.41791044776119407
LA,PRCP,MAD,2,1,1,23,0.5,0.041666666666666664,0.07692307692307693
LA,PRCP,IsolationForest,9,8,1,16,0.8888888888888888,0.3333333333333333,0.48484848484848486
NYC,TMAX,Z-score,110,18,92,14,0.16363636363636364,0.5625,0.2535211267605634
NYC,TMAX,MAD,64,11,53,21,0.171875,0.34375,0.22916666666666666
NYC,TMAX,IsolationForest,17,2,15,30,0.11764705882352941,0.0625,0.08163265306122448
NYC,TMIN,Z-score,99,15,84,10,0.15151515151515152,0.6,0.24193548387096778
NYC,TMIN,MAD,67,4,63,21,0.05970149253731343,0.16,0.08695652173913043
NYC,TMIN,IsolationForest,17,2,15,23,0.11764705882352941,0.08,0.09523809523809526
NYC,PRCP,Z-score,117,22,95,2,0.18803418803418803,0.9166666666666666,0.31205673758865243
NYC,PRCP,MAD,47,8,39,16,0.1702127659574468,0.3333333333333333,0.22535211267605634
NYC,PRCP,IsolationForest,17,14,3,10,0.8235294117647058,0.5833333333333334,0.6829268292682927
