DATE,CITY,TMAX,z_TMAX,abs_score
2025-05-30,LA,96.0,12.223148413680377,12.223148413680377
2025-05-31,LA,91.0,9.269627267208621,9.269627267208621
2024-01-16,Chicago,3.0,-6.939315030888374,6.939315030888374
2025-05-10,LA,99.0,6.258922202972101,6.258922202972101
2024-07-18,Chicago,75.0,-5.184868093101035,5.184868093101035
2025-06-24,NYC,99.0,5.154142725996679,5.154142725996679
2024-09-09,LA,105.0,5.151927273389479,5.151927273389479
2025-05-11,LA,90.0,5.143520854739962,5.143520854739962
2023-09-17,Chicago,64.0,-5.009997644130587,5.009997644130587
2023-01-16,Chicago,52.0,4.961610247085187,4.961610247085187
2025-10-29,LA,97.0,4.941586780284726,4.941586780284726
2024-01-15,Chicago,2.0,-4.630698085285883,4.630698085285883
2024-07-08,NYC,95.0,4.62497371833964,4.62497371833964
2023-01-30,NYC,55.0,4.546862393049304,4.546862393049304
2024-12-18,LA,83.0,4.54344111251121,4.54344111251121
